Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
27,19.8,26,15,1012.4,65,0,17.1,13.1,27.8,-, , , , 
28,19.2,23,13,1009.9,71,0,10.6,16.1,25.9,-, , , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,, , , , 
1,24,34,16,1010.9,63,0,10,18.3,29.4,-, , , , 
2,18.4,21,16,1011.8,87,0,7.7,11.5,24.1,-, , , , 
3,20.5,23,16,1012.7,68,0,8,13.9,14.8,-, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,16.5,20,10,1023.9,77,0,10,11.5,14.8,-, , , , 
8,15.5,20,10,1024.8,73,0,8,15,24.1,-, , , , 
9,16.2,18,14,1028,65,0,8,11.7,16.5,-, , , , 
10,,,,,,,,,,, , , , 
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,,,,,,,,,,, , , , 
13,,,,,,,,,,, , , , 
14,19.2,20,18,1021.2,67,0,9.7,17.2,20.2,-, , , , 
15,19.3,20,9,1016.6,-,0,9.5,13.7,20.2,-, , , , 
16,18.8,22,15,1012.7,88,0,5,24.4,34.8,-, , , , 
17,,,,,,,,,,,o, , , 
18,,,,,,,,,,, , , , 
19,,,,,,,,,,, , , , 
20,21.4,28,10,1008.3,64,0,14,27,29.4,-, , , , 
21,20.6,25,13,1013.9,60,0,18,20.2,33.2,-, , , , 
22,19.4,24,12,1016.4,75,0,14,19.1,29.4,-, , , , 
23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,,,,,,,,,,, , , , 
25,,,,,,,,,,, , , , 
26,,,,,,,,,,, , , , 
27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,21.6,23,19,1016.7,78,0,6,16.1,20.2,-, , , , 
29,21.5,24,17,1016.7,78,0,6,11.5,18.3,-, , , , 
30,20.5,23,17,1016,82,0,6,15.6,18.3,-, , , , 
31,,,,,,,,,,, , , , 
1,21.8,24,19,1011.1,82,0,6,24.4,37,-, , , , 
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,21.5,22,19,1013.1,87,0,6,7.8,16.5,-, , , , 
8,22.5,24,19,1015.8,82,0,5.5,-,-,-, , , , 
9,,,,,,,,,,, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,21.2,24,17,1017.1,81,0,5,11.5,16.5,-, , , , 
13,20.8,23,16,1018.9,91,-,5,11.1,14.8,-,o, , , 
14,22.2,24,18,1020.8,85,0,4.3,10,14.8,-, , , , 
15,,,,,,,,,,, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,, , , , 
18,23,26,19,1014.7,81,0,6,14.4,22.2,-, , , , 
19,22.6,26,17,1011.3,82,-,7.2,16.7,25.9,-,o, ,o, 
20,24,26,21,1011.2,76,0,7.7,14.4,22.2,-, , , , 
21,,,,,,,,,,,o, , , 
22,,,,,,,,,,,o, , , 
23,,,,,,,,,,, , , , 
24,21.4,24,14,1019.1,73,0,18,12.6,16.5,-, , , , 
25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,24.2,29,19,1014,73,0,8.4,10,18.3,-, , , , 
27,27,32,20,1014.4,68,0,6.8,11.1,14.8,-, , , , 
28,,,,,,,,,,, , , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,, , , ,o
1,23.4,26,21,1018.7,91,0,3.1,10.4,13,-, , , ,o
2,24.4,27,19,1019,78,0,7.6,16.3,24.1,-, , , , 
3,21.8,24,19,1019.8,88,0,5,8.3,14.8,-, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,24,26,20,1015.8,85,-,7.2,14.1,18.3,-,o, , , 
8,24.8,28,20,1013,81,0,7.7,10.7,20.6,-, , ,o, 
9,24.4,28,22,1012.9,85,0,7.6,17,20.6,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,26.2,29,24,1007.8,73,0,8.9,15.2,37,-, , , , 
14,25.8,29,20,1009.7,66,0,8.4,23.3,31.7,-, , , , 
15,26,30,23,1010.6,59,0,18.8,-,-,-, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,, , , , 
19,23.8,26,20,1015.2,83,0,8.4,-,-,-, , , , 
20,24.6,27,20,1012.9,81,0,9,16.3,22.2,-, , , , 
21,25.6,28,21,1012.3,81,0,7.7,18.9,25.9,-, , , , 
22,,,,,,,,,,, , , , 
23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,,,,,,,,,,, , , , 
25,,,,,,,,,,, , , , 
26,23.8,27,21,1013.8,75,0,7.2,18.9,25.9,-, , , , 
27,24.2,27,19,1017.7,64,0,8,14.8,18.3,-, , , , 
28,23.6,27,17,1013,69,0,6,16.7,20.6,-, , , , 
29,,,,,,,,,,,o, , , 
30,,,,,,,,,,, , , , 
31,,,,,,,,,,, , , , 
1,24.8,26,24,1016.2,81,0,6.4,24.1,25.9,-, , , , 
2,24.8,28,20,1017.2,87,0,6.4,14.8,18.3,-, , , , 
3,24.8,28,22,1016.3,79,39.88,6.4,13.3,22.2,-, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,24.6,28,19,1019.3,77,0,6,15.2,20.6,-, , , , 
8,25,27,23,1021.4,79,0,6,15.9,20.6,-, , , , 
9,24.6,27,18,1019.1,74,0,8,12.6,16.5,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,,o, , , 
13,25,27,19,1017.4,79,0,6,15.6,20.6,-, , , , 
14,24.5,28,19,1016.8,82,0,5.8,17.6,20.6,-, , , , 
15,25.3,28,20,1014.6,82,0,6.4,15.2,20.6,-, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,,o, , , 
18,,,,,,,,,,, , ,o, 
19,26.6,30,22,1016.4,72,0,12.1,18.1,22.2,-, , , , 
20,25.6,28,20,1017.6,77,0,5.8,17.4,22.2,-, , , , 
21,25.2,28,20,1018.6,75,0,6.3,15.9,20.6,-, , , , 
22,,,,,,,,,,, , , , 
23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,,,,,,,,,,,o, , , 
25,,,,,,,,,,, , , , 
26,25.2,29,20,1015.8,76,0,10,15.2,20.6,-, , , , 
27,25.6,30,20,1015.1,75,0,8.9,15.2,20.6,-, , , , 
28,20,29,-,1018.4,-,0,6.3,15.7,20.6,-, , , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,, , , , 
31,,,,,,,,,,, , , , 
1,23,26,18,1020.6,61,0,8,12.6,18.3,-, , , , 
2,22.6,26,15,1020.9,70,0,8,10,16.5,-, , , , 
3,23.4,27,17,1019.9,77,0,9.2,10.7,18.3,-, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,24,27,18,-,80,0,10,14.4,22.2,-, , , , 
8,25.2,28,19,1015.3,76,0,10,16.3,25.9,-, , , , 
9,25.6,29,20,1014.7,73,0,10,14.1,24.1,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,25.4,29,19,1013.7,64,0,10,14.8,22.2,-, , , , 
14,26,28,20,1013.5,77,0,8.9,12.2,18.3,-, , , , 
15,31.4,41,24,1015.5,37,0,13,17.8,37,-, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,, , , , 
19,23.6,27,18,1015.7,70,0,11.6,10.4,13,-, , , , 
20,25,32,17,1013,64,0,19,17,22.2,-, , , , 
21,25.6,29,20,1010.9,70,0,13.7,17,24.1,-, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,,o, , , 
24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,,,,,,,,,,,o, , , 
26,15.7,23,0,1017.5,91,-,8.4,18.1,37,-,o, , , 
27,19.4,25,14,1019.8,70,0,9.7,16.3,27.8,-, , , , 
28,20.6,25,13,1019,75,0,10,18.5,24.1,-, , , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,, , , , 
1,22.4,26,16,1007.6,61,0,10.9,17,25.9,-, , , , 
2,19,21,15,1012.3,61,0,9,11.7,16.5,-, , , , 
3,20,23,14,1016.4,69,0,9.2,10.7,20.6,-, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,21.4,23,20,1021.6,83,0,6,20.9,29.4,-, , , , 
8,19.6,23,15,1020,75,0,6.8,13,16.5,-, , , , 
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,18.8,22,12,1017.1,71,0,9.5,13.3,29.4,-, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,,,,,,,,,,,o, , , 
14,22.2,28,16,1010.1,57,0,10,22.2,29.4,-, , , , 
15,22.2,29,16,1011.5,57,0,13.7,20.6,29.4,-, , , , 
16,24.5,33,17,1009.5,46,0,13,18.7,29.4,-, , , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,,o, , , 
19,,,,,,,,,,, , , , 
20,21,23,19,1016.3,71,0,7.6,13.3,18.3,-, , , , 
21,18.5,21,14,1016.2,80,0,8,10.7,13,-, , , , 
22,18.5,21,17,1021.3,78,-,6,15.4,25.9,-,o, , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,,o, , , 
25,,,,,,,,,,,o, , , 
26,13.8,18,11,1020.5,80,-,8,16.1,22.2,-,o, , , 
27,15,17,13,1022.1,90,-,6,18.1,24.1,-,o, , , 
28,16.2,20,14,1024.5,86,0,6.8,13,18.3,-, , , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,, , , , 
31,,,,,,,,,,, , , , 
1,16.2,22,11,1021.9,72,0,10.6,23,44.6,-, , , , 
2,16.6,21,11,1020.5,71,0,15,20.7,37,-, , , , 
3,18.6,25,12,1016.6,60,0,12.6,18.1,33.5,-, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,,,,,,,,,,,o, , , 
8,13,18,9,1026.7,79,0,9.7,11.5,18.3,-, , , , 
9,14.4,19,9,1026,72,0,6.8,15.6,29.4,-, , , , 
10,13.6,18,8,1022.4,73,0,10.1,17.4,33.5,-, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,,o, , , 
13,,,,,,,,,,,o, , , 
14,13.5,19,8,1023.2,79,0,9,13.3,24.1,-, , , , 
15,15.4,19,10,1024,47,0,6.8,15.9,24.1,-, , , , 
16,13.2,19,9,1023.4,76,0,8,20.4,37,-, , , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,, , , , 
19,,,,,,,,,,, , , , 
20,13.6,19,8,1023.9,77,0,10,18.5,31.7,-, , , , 
21,13.8,19,9,1026.6,75,0,18,20.4,37,-, , , , 
22,15.2,23,2,1027.3,65,0,18,20.4,37,-, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,, , , , 
25,,,,,,,,,,, , , , 
26,15.8,20,11,1021.2,78,-,8,13.7,14.8,-,o, , , 
27,13.2,15,11,1021.7,85,-,5.1,23.3,37,-,o, , , 
28,9.6,12,6,1025.2,72,-,5.8,17,29.4,-,o, , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,,o, , , 
1,15.8,21,12,1014.9,64,0,16.3,17.4,37,-, , , , 
2,16,20,8,1007.5,49,-,15,24.8,44.6,-,o, , , 
3,6,8,5,1016,88,-,3.2,28.2,37,-,o, ,o, 
4,,,,,,,,,,,o, , , 
5,,,,,,,,,,,o, , , 
6,,,,,,,,,,, , , , 
7,12,15,9,1022.9,70,0,8.9,23.7,40.7,-, , , , 
8,12.5,20,7,1015.6,68,0,17.5,21.9,31.7,-, , , , 
9,11.4,17,6,1014.1,67,0,15,17.8,27.8,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,,o, , , 
12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,,,,,,,,,,,o, , , 
14,13.5,18,0,1021,66,0,8,13,14.8,-, , , , 
15,11.8,16,8,1019.7,72,0,12.1,24.6,38.9,-, , , , 
16,12.2,16,9,1024.3,73,0,9.2,14.8,20.6,-, , , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,, , , , 
19,,,,,,,,,,, , , , 
20,17.8,19,11,999.8,39,0,10.8,-,-,-, , , , 
21,15,19,12,1004.9,60,0,6,18.9,24.1,-, , , , 
22,14,18,10,1014.4,66,0,11.3,14.8,22.2,-, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,,o, , , 
25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,,,,,,,,,,, , , , 
27,12.2,18,9,1023.6,66,0,20,18.9,29.4,-, , , , 
28,19.3,33,4,1024.4,41,0,10,17.6,29.4,-, , , , 
29,13.4,17,9,1012.7,83,0,8.4,14.4,22.2,-, , , , 
30,,,,,,,,,,, , , , 
31,,,,,,,,,,,o, , , 
1,10.6,13,9,1020.5,78,-,6,19.6,25.9,-,o, , , 
2,10,16,7,1016.5,78,0,10,20.9,27.8,-, , , , 
3,12,18,7,1016,68,0,12.1,22.2,33.5,-, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,17.2,21,10,1025,63,0,10,19.8,29.4,-, , , , 
8,15.2,20,12,1024.1,71,0,9.2,15.9,24.1,-, , , , 
9,14.6,19,10,1019.4,61,0,12.1,26.3,37,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,15.4,20,10,1024.1,70,0,15.6,25.6,33.5,-, , , , 
14,12.8,16,9,1025.5,83,0,8,11.9,18.3,-, , , , 
15,11.8,16,7,1029,80,0,8.4,16.7,29.4,-, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,, , , , 
19,8.2,10,7,1031.5,93,-,6.4,21.1,25.9,-,o, , , 
20,11.4,15,9,1029.9,81,0,7.6,15.6,25.9,-, , , , 
21,11.2,16,6,1026.9,80,0,13,23,37,-, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,, , , , 
25,10.5,15,4,1021.8,70,0,9.5,14.3,25.9,-, , , , 
26,11.4,17,4,1021.3,72,0,10,20.6,29.4,-, , , , 
27,11.2,13,7,1021,88,-,6,19.4,35.2,-,o, , , 
28,,,,,,,,,,, , , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,, , , , 
31,15.2,17,9,1019.7,65,0,10,16.7,24.1,-, , , , 
1,12.8,17,9,1020.3,74,0,11.3,18.1,22.2,-, , , , 
2,14.2,19,9,1015,64,0,13,20.4,37,-, , , , 
3,12.4,16,11,1018.2,62,-,10.9,32.6,46.5,-,o, , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,13.2,16,11,1010,44,-,9.3,25.6,29.4,-,o, , , 
8,12,15,11,1022.3,81,-,7.7,13.9,16.5,-,o, , , 
9,11.4,16,4,1024.8,67,0,17.1,16.7,27.8,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,12.4,15,10,1003.9,64,-,11.6,32.2,48.2,-,o, ,o, 
14,10.8,14,7,1013,67,-,6.9,27.4,37,-,o, , , 
15,12.2,18,4,1010,69,-,10.6,21.5,35.2,-,o, , , 
16,,,,,,,,,,,o, , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,,o, , , 
19,11.6,15,8,1005.7,71,0,9.7,30.7,44.6,-, , , , 
20,12.2,14,8,1008.1,69,0,8,18.1,29.4,-, , , , 
21,10.8,15,7,1012.5,77,-,9.2,19.3,24.1,-,o, , , 
22,,,,,,,,,,,o, ,o, 
23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,,,,,,,,,,,o, ,o, 
25,,,,,,,,,,,o, ,o, 
26,8.8,11,7,1019.3,91,-,6.9,20,24.1,-,o, ,o, 
27,10.5,15,4,1018.7,69,0,9.5,20.7,29.4,-, , , , 
28,13.5,16,12,1016.6,68,0,10,17,24.1,-, , , , 
1,12,17,5,1017.5,70,0,10,18.1,24.1,-, , , , 
2,11,16,5,1015.2,75,0,9,18.9,25.9,-, , , , 
3,14,19,8,1007.8,75,0,10,16.3,22.2,-, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,,o, ,o, 
6,,,,,,,,,,, , , , 
7,10.2,14,3,1018,67,0,10,18.9,22.2,-, , , , 
8,10.6,14,4,1012.8,75,-,7.6,16.7,22.2,-,o, , , 
9,12,16,6,1014.1,80,0,8,16.7,24.1,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , ,o, 
12,,,,,,,,,,,o, ,o, 
13,11.2,15,6,1018.3,87,-,7.2,15.9,22.2,-,o, , , 
14,11.4,14,7,1012.7,76,0,9.7,17.4,22.2,-, , , , 
15,13.8,18,8,1016.1,67,0,8,21.5,37,-, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,, , , , 
19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,17.5,29,13,996.7,61,0,8,-,-,-, , , , 
21,13,17,10,1005.5,76,-,10.3,20.4,24.1,-,o, , , 
22,17.2,20,15,1015.4,49,0,10,27.8,37,-, , , , 
23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,,,,,,,,,,, , , , 
25,,,,,,,,,,, , , , 
26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,,,,,,,,,,, , , , 
28,17.3,20,17,1004.9,77,-,8.7,19.1,20.6,-,o, , , 
29,13.6,15,12,996.2,91,19.05,6.8,25.7,55.4,-,o, , , 
30,14.8,16,13,1003.8,87,-,6.4,20,25.9,-,o, , , 
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,17,20,14,1003.5,80,0,7.6,19.4,29.4,-, , , , 
12,14.3,19,9,1003,73,0,8,20.4,24.1,-, , , , 
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,13.8,16,11,1007.4,80,-,8,16.3,20.6,-,o, , , 
15,,,,,,,,,,, , ,o, 
16,,,,,,,,,,,o, ,o, 
17,,,,,,,,,,,o, ,o, 
18,12.2,15,4,1016.8,70,0,10.9,22.2,25.9,-, , , , 
19,13,16,6,1018.7,71,0,8.7,18.9,22.2,-, , , , 
20,13,16,8,1020.7,70,0,9,19.6,24.1,-, , , , 
21,,,,,,,,,,, , , , 
22,,,,,,,,,,,o, , , 
23,,,,,,,,,,, , , , 
24,13.4,15,11,1014.3,83,-,6.9,15.2,16.5,-,o, , , 
25,16.6,21,12,1013.4,65,0,7.6,24.8,33.5,-, , , , 
26,15.4,18,9,1008.5,80,0,8,17.8,24.1,-, , , , 
27,,,,,,,,,,,o, , , 
28,,,,,,,,,,, , , , 
29,,,,,,,,,,,o, ,o, 
30,12,16,9,1008.8,73,-,7.7,23.5,29.4,-,o, , , 
1,15.4,19,9,1012.6,72,0,9,18.1,27.8,-, , , , 
2,16.2,21,10,1013.2,75,-,9,17.8,22.2,-,o, , , 
3,17.6,23,11,1008.2,71,0,10.9,25.6,31.7,-, , , , 
4,,,,,,,,,,,o, , , 
5,,,,,,,,,,,o, , , 
6,,,,,,,,,,, , , , 
7,16.2,18,13,1015.7,83,0,10,14.8,18.3,-, , , , 
8,16.4,19,10,1018.4,72,0,9.8,16.3,31.7,-, , , , 
9,15.4,18,9,1017.9,80,0,7.6,16.7,24.1,-, , , , 
10,,,,,,,,,,, , , , 
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,18.8,20,16,1019.3,87,0,6.8,24.8,35.2,-, , , , 
14,18.5,22,13,1020.2,87,0,7.2,16.1,24.1,-, , , , 
15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,19.6,22,16,1011.2,83,0,6.3,28.2,37,-, , , , 
17,,,,,,,,,,, , , , 
18,,,,,,,,,,,o, , , 
19,,,,,,,,,,, , , , 
20,22,32,17,1021,71,0,5.6,15.7,20.6,-, , , , 
21,19.8,23,12,1021.4,75,0,7.6,13.7,18.3,-, , , , 
